word,meanItemRT,nItem,word_length,gpt3_logprob,word_type
a,373.773656776263,173,1,1.5193215353977476,function
abby,432.77992984596614,244,4,2.1772470885,content
abbys,397.0588235294118,85,5,,content
able,293.26506024096386,83,4,3.0275035256636667,content
about,340.93156666359573,274,5,2.0619538484210524,function
above,343.93406593406587,91,5,1.204270575,function
absolute,356.38571428571424,70,8,0.21364565,content
abusive,331.74666666666667,75,7,3.8418686,content
accidents,369.1,70,9,0.108934194,content
accompanied,348.90666666666664,75,11,0.90806204,content
accord,358.7386363636363,88,6,3.6972802,content
according,363.2400542495479,149,9,3.9378669,content
account,350.0876232201533,160,7,2.4143225833333335,content
accounting,330.43835616438355,73,10,0.016507983,content
accounts,372.9944600938967,146,8,2.5960985974999997,content
accumulated,342.7032967032967,91,11,4.7282434,content
accusingly,344.0,83,10,,content
ace,326.3908045977012,87,3,8.567844,content
achieve,310.24,75,7,0.7859666,content
achievement,278.8783783783784,74,11,1.9754864,content
achievements,400.2619047619048,84,12,3.38725,content
acquiesced,479.3516483516484,91,10,,content
acres,326.4025974025974,77,5,1.3552203,content
across,339.7391304347827,92,6,3.1347536,content
act,357.9333333333333,75,3,0.13340315,content
activities,373.58333333333337,72,10,0.62558913,content
actual,374.9333333333333,75,6,10.2187895,content
actually,307.0888888888889,90,8,5.9425061,content
add,316.4878048780488,82,3,5.0605154,content
added,308.8888888888889,81,5,1.7919662,content
addition,299.9240506329114,79,8,3.0445642,content
additional,352.7042253521127,71,10,4.9190226,content
additionally,524.081081081081,74,12,5.428645,content
admiral,446.0051264524949,153,7,,content
admirals,453.84,75,8,,content
admitted,321.2631578947368,76,8,6.303634,content
adulthood,333.36037558685445,146,9,0.36712497000000005,content
advance,305.0,84,7,8.136412,content
affected,355.4246575342466,73,8,3.9215049333333334,content
affording,324.48,75,9,,content
afraid,374.30769230769226,91,6,2.4518216,content
after,333.96739130434787,92,5,2.03641147596,function
again,350.60561920013134,260,5,3.4016597333333336,function
against,338.04395604395603,91,7,3.810521286666667,function
age,391.0722891566265,83,3,0.010515823042857142,content
ages,331.36986301369865,73,4,0.018147556,content
ago,325.4814358884814,250,3,0.51679195,content
agree,310.97297297297297,74,5,0.609644625,content
agustin,338.21428571428567,70,7,,content
ah,297.0243902439024,82,2,4.3721623,content
aimed,323.3142857142857,70,5,2.2973046,content
air,447.0904304402106,253,3,2.327323726472727,content
alien,384.35526315789474,76,5,0.61211926325,content
aliens,337.027397260274,219,6,1.3902606033333333,content
alive,341.9594594594595,74,5,0.12041349,content
all,354.21201650177585,352,3,3.0543763152860466,content
alleged,411.1184210526315,76,7,2.8378422,content
allergies,345.4492753623188,69,9,0.032303058,content
allowed,325.8617021276596,94,7,4.19800475,content
almost,325.62988216602673,174,6,4.749160244444444,content
alone,328.3132499684224,178,5,2.1660124670000003,content
along,347.7690821256039,272,5,3.6556185000000005,content
already,385.0416666666667,159,7,5.3805914999999995,content
also,369.57608695652175,92,4,3.2821160136000005,content
although,407.7714285714286,70,8,4.434899725,content
altitude,330.3,70,8,1.0213935,content
always,305.79761904761904,84,6,3.1933599399999997,content
am,326.60227272727275,88,2,0.7762738070666667,function
ambassador,399.5897435897436,78,10,0.29822588,content
ambitions,341.81176470588235,85,9,2.9694138,content
ambushed,335.2352941176471,85,8,,content
american,346.49295774647885,71,8,0.27216202,content
americans,422.056338028169,71,9,0.60673946,content
among,340.9764705882353,85,5,5.321413875,content
an,337.77950310559004,153,2,3.0934539566000003,function
and,358.86097410039736,345,3,1.6095570581869354,function
anger,340.7323107372588,180,5,1.6536750000000002,content
angrily,322.8068181818182,88,7,2.261793,content
angry,293.1084337349397,83,5,3.2308743,content
animal,291.6341463414634,82,6,2.9602587,content
announced,339.187380952381,159,9,5.001690446666667,content
annoyed,439.9318181818181,88,7,3.304618,content
annual,374.9240506329114,79,6,0.18615869,content
another,290.1630434782609,92,7,3.2813277975,content
answer,365.971033068444,177,6,3.2346187000000004,content
answered,380.4605263157894,76,8,4.4224463,content
anthropomorphic,490.6478873239435,71,15,,content
anticipation,299.3378378378378,74,12,2.6053665,content
anxiety,368.830985915493,71,7,1.1533560600000001,content
any,365.9639328063241,180,3,3.3805662920000006,content
anymore,372.28395061728384,81,7,0.58792704,content
anyone,377.2441860465116,86,6,1.8593066,content
anything,329.8191489361702,94,8,3.3435871500000003,content
anytime,315.90425531914894,94,7,5.010778,content
apart,304.44565217391306,92,5,8.767263,content
apparently,410.28,75,10,6.3122816,content
appealing,352.45454545454544,77,9,5.648166,content
appear,383.5974025974026,77,6,3.3564001,content
appearance,380.74725274725273,91,10,4.8098907,content
appeared,335.4647547574377,173,8,1.12847075,content
applaud,305.1733333333333,75,7,2.407401,content
applause,276.34722222222223,72,8,0.493067,content
approached,383.5714285714286,91,10,8.30509,content
approval,373.0243902439024,82,8,0.042225786,content
approximately,363.0810810810812,74,13,5.096749,content
april,346.24675324675326,77,5,1.8085567,content
apron,460.0543478260869,92,5,,content
aqua,466.6789187823669,178,4,2.8743158930625,content
aquas,376.7826086956521,92,5,,content
archway,365.9512195121951,82,7,,content
are,316.6941176470588,85,3,1.3798768842857143,function
area,359.2,70,4,1.6600801,content
argued,305.9866666666667,75,6,3.3794634,content
arguing,305.2266666666667,75,7,1.6752095,content
arguments,420.13698630136986,73,9,5.615043,content
